x,Curve1
0.0271,3.6958
0.1894,3.9237
0.4972,4.4031
0.822,4.9124
1.1297,5.4217
1.4374,5.8412
1.8648,5.8116
2.2922,5.782
2.5657,6.1715
2.8563,6.6808
3.164,7.22
3.4546,7.7293
3.5572,7.909
3.8649,8.4183
4.1726,8.8977
4.4804,9.3771
4.7881,9.8864
5.1129,10.3657
5.4377,10.8451
5.7625,11.3245
6.0873,11.7739
6.395,12.2233
6.7369,12.7027
7.0617,13.1521
7.3866,13.6016
7.7285,14.0809
8.0533,14.5304
8.3952,14.9798
8.7371,15.4293
9.079,15.8787
9.4209,16.3281
9.7457,16.7476
10.0876,17.1971
10.4295,17.6166
10.7543,18.036
11.0962,18.4555
11.421,18.875
11.7629,19.3245
12.1048,19.744
12.2863,19.986
