x,Curve1
2782.68,3.473
2822.66,4.738
2939.73,9.011
3077.5,12.807
3392.31,19.605
3408.02,15.01
3483.68,21.502
3525.8,17.222
3618.6,23.555
3749.95,25.926
3871.3,27.188
3907.71,27.503
4064.04,30.664
4114.73,31.771
4150.42,27.175
4299.61,46.18
4428.82,42.055
4508.77,40.308
4547.32,40.782
4587.29,36.819
4613.71,43.314
4643.69,36.817
4650.11,48.065
4675.1,53.767
4687.23,41.885
4692.23,59.628
4717.21,68.658
4757.9,65.329
4794.31,69.446
4822.15,68.97
4832.86,70.553
4869.26,68.968
4871.41,88.771
4882.83,67.699
4894.96,88.928
5035.59,101.596
5055.58,63.097
5404.65,198.221
5476.04,197.425
5533.86,256.2
5792.27,265.852
5884.36,340.309
